Tip Matrice,Nr threads,Timp executie
10x10,4,9E-06
10x10,4,1.06E-05
10x10,4,8.8E-06
10x10,4,1.24E-05
10x10,4,1.26E-05

1000x1000,4,0.0001754
1000x1000,4,0.0001244
1000x1000,10,0.000151
1000x1000,4,0.0001426
1000x1000,4,0.0001688
1000x1000,4,0.0001408

10000x10000,4,9.8E-05
,4,8.97E-05
,1,0.0001202
,4,0.000144666666666667
,4,0.0001692
,4,0.0001702


,2,0
,2,0.0018332
,8,0.0018026
,16,0.0019454
